id,date,wilaya,canal,texte_reclamation,categorie,sentiment,urgence,status,suggested_action
105001,31/7/2024,Tizi Ouzou,Centre d'appel,Incident: modem ne se synchronise pas.,Coupure de ligne,Négatif,Moyenne,Résolu,Redémarrage du modem
105002,29/10/2024,Boumerdès,Application mobile,"Client signale problème lors de la résiliation, facturation continue.",Résiliation,Négatif,Moyenne,En cours,Vérifier décodeur
105003,22/3/2024,Msila,Site web,Demande d'assistance: bruit important sur la ligne téléphonique.,Coupure de ligne,Négatif,Basse,Résolu,Envoi technicien
105004,15/4/2024,Saïda,Centre d'appel,"Incident: problème lors de la résiliation, facturation continue.",Coupure de ligne,Négatif,Moyenne,Nouveau,Vérifier décodeur
105005,4/9/2025,Boumerdès,Site web,Incident: installation non réalisée dans les délais.,Coupure de ligne,Négatif,Basse,Clôturé,Vérifier décodeur
105006,6/9/2024,Tiaret,Agence commerciale,Demande d'assistance: image figée sur certaines chaines.,Installation,Neutre,Moyenne,Résolu,Planifier rendez-vous
105007,30/7/2024,Constantine,Centre d'appel,"Demande d'assistance: montant facturé incorrectement, demande régularisation.",Facturation,Négatif,Moyenne,En cours,Planifier rendez-vous
105008,26/3/2024,Médéa,Site web,"Réclamation: montant facturé incorrectement, demande régularisation.",Coupure de ligne,Négatif,Moyenne,Résolu,Envoi technicien
105009,28/2/2025,Blida,Centre d'appel,Client signale demande d'information sur l'offre et le contrat.,Internet lent,Neutre,élevée,Résolu,Ouverture dossier
105010,7/11/2024,Alger,Centre d'appel,Réclamation: erreur d'authentification lors de la connexion.,Résiliation,Négatif,Moyenne,Résolu,Envoi technicien
105011,17/9/2024,Tiaret,Centre d'appel,"Demande d'assistance: montant facturé incorrectement, demande régularisation.",Installation,Négatif,Basse,Résolu,Planifier rendez-vous
105012,25/5/2025,Adrar,Agence commerciale,Réclamation: débit très faible en soirée.,Télévision,Négatif,Basse,Résolu,Fournir procédure pas-à -pas
105013,26/5/2025,Blida,Site web,Client signale installation non réalisée dans les délais.,Installation,Neutre,Moyenne,En cours,Redémarrage du modem
105014,3/8/2024,Jijel,Centre d'appel,Incident: erreur d'authentification lors de la connexion.,Facturation,Positif,Moyenne,Résolu,Planifier rendez-vous
105015,28/4/2024,Béjaïa,Site web,Client signale installation non réalisée dans les délais.,Coupure de ligne,Neutre,Moyenne,En cours,Envoi technicien
105016,5/8/2025,El Oued,Agence commerciale,Incident: installation non réalisée dans les délais.,Coupure de ligne,Négatif,Critique,Nouveau,Vérifier contrat
105017,23/2/2025,Laghouat,Agence commerciale,Demande d'assistance: image figée sur certaines chaines.,Configuration,Négatif,Moyenne,Résolu,Redémarrage du modem
105018,10/1/2025,Oran,Site web,Demande d'assistance: bruit important sur la ligne téléphonique.,Résiliation,Négatif,Moyenne,Résolu,Redémarrage du modem
105019,13/4/2025,Tizi Ouzou,Agence commerciale,Incident: erreur d'authentification lors de la connexion.,Coupure de ligne,Négatif,Moyenne,Résolu,Vérifier contrat
105020,14/9/2024,Annaba,Agence commerciale,Réclamation: coupure de service depuis ce matin.,Internet lent,Positif,Basse,Résolu,Vérification facturation
105021,1/6/2025,Annaba,Email,Demande d'assistance: coupure de service depuis ce matin.,Configuration,Neutre,Basse,Nouveau,Envoi technicien
105022,8/9/2025,Chlef,Application mobile,Client signale modem ne se synchronise pas.,Installation,Négatif,élevée,Escaladé,Vérification facturation
105023,26/6/2024,Msila,Site web,Client signale demande d'information sur l'offre et le contrat.,Facturation,Négatif,Basse,Résolu,Vérifier contrat
105024,25/2/2025,Chlef,Centre d'appel,Incident: installation non réalisée dans les délais.,Télévision,Négatif,Basse,Résolu,Redémarrage du modem
105025,3/10/2025,Alger,Site web,Abonné rapporte installation non réalisée dans les délais.,Internet lent,Négatif,Basse,Résolu,Redémarrage du modem
105026,16/8/2025,Saïda,Site web,Client signale image figée sur certaines chaines.,Coupure de ligne,Neutre,Moyenne,Nouveau,Envoi technicien
105027,19/8/2024,Jijel,Agence commerciale,Demande d'assistance: image figée sur certaines chaines.,Internet lent,Neutre,Moyenne,Résolu,Vérifier décodeur
105028,26/10/2024,Ghardaïa,Centre d'appel,"Abonné rapporte montant facturé incorrectement, demande régularisation.",Télévision,Négatif,Moyenne,Résolu,Envoi technicien
105029,4/1/2025,Sétif,Site web,Demande d'assistance: bruit important sur la ligne téléphonique.,Internet lent,Négatif,Moyenne,En cours,Vérifier contrat
105030,28/8/2024,Skikda,Site web,Client signale débit très faible en soirée.,Installation,Négatif,Moyenne,En cours,Envoi technicien
105031,30/9/2025,Ghardaïa,Application mobile,Réclamation: erreur d'authentification lors de la connexion.,Résiliation,Négatif,Moyenne,Résolu,Fournir procédure pas-à -pas
105032,18/2/2025,Sidi Bel Abbès,Centre d'appel,Incident: débit très faible en soirée.,Résiliation,Négatif,élevée,Résolu,Envoi technicien
105033,30/9/2025,Adrar,Agence commerciale,Réclamation: erreur d'authentification lors de la connexion.,Coupure de ligne,Négatif,Basse,En cours,Vérification facturation
105034,2/11/2024,Saïda,Email,Réclamation: débit très faible en soirée.,Autre,Négatif,Moyenne,Nouveau,Vérifier décodeur
105035,16/10/2025,Saïda,Centre d'appel,Demande d'assistance: installation non réalisée dans les délais.,Résiliation,Négatif,élevée,Nouveau,Vérifier décodeur
