id,date,wilaya,canal,texte_reclamation,categorie,sentiment,urgence,status,suggested_action
105001,31/7/2024,Tizi Ouzou,Centre d'appel,incident: modem ne se synchronise pas.,Coupure de ligne,Négatif,Moyenne,Résolu,Vérification Boitier Extérieur
105002,29/10/2024,Boumerdès,Application mobile,"client signale problème lors de la résiliation, facturation continue.",Résiliation,Négatif,Moyenne,En cours,Explication Détails Facture
105003,22/3/2024,Msila,Site web,demande d'assistance: bruit important sur la ligne téléphonique.,Coupure de ligne,Négatif,Basse,Résolu,Vérification Boitier Extérieur
105004,15/4/2024,Saïda,Centre d'appel,"incident: problème lors de la résiliation, facturation continue.",Coupure de ligne,Négatif,Moyenne,Nouveau,Vérification Boitier Extérieur
105005,4/9/2025,Boumerdès,Site web,incident: installation non réalisée dans les délais.,Coupure de ligne,Négatif,Basse,Clôturé,Vérification Boitier Extérieur
105006,6/9/2024,Tiaret,Agence commerciale,demande d'assistance: image figée sur certaines chaines.,Installation,Neutre,Moyenne,Résolu,Confirmation Date RDV
105007,30/7/2024,Constantine,Centre d'appel,"demande d'assistance: montant facturé incorrectement, demande régularisation.",Facturation,Négatif,Moyenne,En cours,Audit Facturation & Geste Commercial
105008,26/3/2024,Médéa,Site web,"réclamation: montant facturé incorrectement, demande régularisation.",Coupure de ligne,Négatif,Moyenne,Résolu,Vérification Boitier Extérieur
105009,28/2/2025,Blida,Centre d'appel,client signale demande d'information sur l'offre et le contrat.,Internet lent,Neutre,élevée,Résolu,Vérification Boitier Extérieur
105010,7/11/2024,Alger,Centre d'appel,réclamation: erreur d'authentification lors de la connexion.,Résiliation,Négatif,Moyenne,Résolu,Traitement Niveau 1
105011,17/9/2024,Tiaret,Centre d'appel,"demande d'assistance: montant facturé incorrectement, demande régularisation.",Installation,Négatif,Basse,Résolu,Confirmation Date RDV
105012,25/5/2025,Adrar,Agence commerciale,réclamation: débit très faible en soirée.,Télévision,Négatif,Basse,Résolu,Audit Facturation & Geste Commercial
105013,26/5/2025,Blida,Site web,client signale installation non réalisée dans les délais.,Installation,Neutre,Moyenne,En cours,Confirmation Date RDV
105014,3/8/2024,Jijel,Centre d'appel,incident: erreur d'authentification lors de la connexion.,Facturation,Positif,Moyenne,Résolu,Audit Facturation & Geste Commercial
105015,28/4/2024,Béjaïa,Site web,client signale installation non réalisée dans les délais.,Coupure de ligne,Neutre,Moyenne,En cours,Vérification Boitier Extérieur
105016,5/8/2025,El Oued,Agence commerciale,incident: installation non réalisée dans les délais.,Coupure de ligne,Négatif,Critique,Nouveau,Escalade Manager & Suivi
105017,23/2/2025,Laghouat,Agence commerciale,demande d'assistance: image figée sur certaines chaines.,Configuration,Négatif,Moyenne,Résolu,Envoi Guide PDF/SMS
105018,10/1/2025,Oran,Site web,demande d'assistance: bruit important sur la ligne téléphonique.,Résiliation,Négatif,Moyenne,Résolu,Traitement Niveau 1
105019,13/4/2025,Tizi Ouzou,Agence commerciale,incident: erreur d'authentification lors de la connexion.,Coupure de ligne,Négatif,Moyenne,Résolu,Vérification Boitier Extérieur
105020,14/9/2024,Annaba,Agence commerciale,réclamation: coupure de service depuis ce matin.,Internet lent,Positif,Basse,Résolu,Test de Stabilité de Ligne
105021,1/6/2025,Annaba,Email,demande d'assistance: coupure de service depuis ce matin.,Configuration,Neutre,Basse,Nouveau,Envoi Guide PDF/SMS
105022,8/9/2025,Chlef,Application mobile,client signale modem ne se synchronise pas.,Installation,Négatif,élevée,Escaladé,Accélération Mise en Service
105023,26/6/2024,Msila,Site web,client signale demande d'information sur l'offre et le contrat.,Facturation,Négatif,Basse,Résolu,Explication Détails Facture
105024,25/2/2025,Chlef,Centre d'appel,incident: installation non réalisée dans les délais.,Télévision,Négatif,Basse,Résolu,Reconfiguration Décodeur
105025,3/10/2025,Alger,Site web,abonné rapporte installation non réalisée dans les délais.,Internet lent,Négatif,Basse,Résolu,Optimisation Wifi à Distance
105026,16/8/2025,Saïda,Site web,client signale image figée sur certaines chaines.,Coupure de ligne,Neutre,Moyenne,Nouveau,Vérification Boitier Extérieur
105027,19/8/2024,Jijel,Agence commerciale,demande d'assistance: image figée sur certaines chaines.,Internet lent,Neutre,Moyenne,Résolu,Optimisation Wifi à Distance
105028,26/10/2024,Ghardaïa,Centre d'appel,"abonné rapporte montant facturé incorrectement, demande régularisation.",Télévision,Négatif,Moyenne,Résolu,Stabilisation Bande Passante
105029,4/1/2025,Sétif,Site web,demande d'assistance: bruit important sur la ligne téléphonique.,Internet lent,Négatif,Moyenne,En cours,Optimisation Wifi à Distance
105030,28/8/2024,Skikda,Site web,client signale débit très faible en soirée.,Installation,Négatif,Moyenne,En cours,Confirmation Date RDV
105031,30/9/2025,Ghardaïa,Application mobile,réclamation: erreur d'authentification lors de la connexion.,Résiliation,Négatif,Moyenne,Résolu,Traitement Niveau 1
105032,18/2/2025,Sidi Bel Abbès,Centre d'appel,incident: débit très faible en soirée.,Résiliation,Négatif,élevée,Résolu,Traitement Niveau 1
105033,30/9/2025,Adrar,Agence commerciale,réclamation: erreur d'authentification lors de la connexion.,Coupure de ligne,Négatif,Basse,En cours,Vérification Boitier Extérieur
105034,2/11/2024,Saïda,Email,réclamation: débit très faible en soirée.,Autre,Négatif,Moyenne,Nouveau,Traitement Niveau 1
