cluster,n,top_terms,top_wilaya,top_canal,top_status,urgent_%,escalade_%,examples
0,10017,"réalisée délais, installation, installation non, non, non réalisée, réalisée, délais, incident installation, réclamation installation, assistance installation","Sétif, Skikda, Batna, Oran, Biskra","Centre d'appel, Site web, Application mobile, Agence commerciale, Email","Résolu, En cours, Nouveau, Clôturé, Escaladé",19.78,5.04,Incident: installation non réalisée dans les délais. | Client signale installation non réalisée dans les délais. | Client signale installation non réalisée dans les délais.
1,10048,"téléphonique, bruit important, ligne téléphonique, ligne, important, important ligne, bruit, réclamation bruit, incident bruit, signale bruit","Jijel, Béjaïa, El Oued, Annaba, Tlemcen","Centre d'appel, Site web, Agence commerciale, Application mobile, Email","Résolu, En cours, Nouveau, Clôturé, Escaladé",20.28,4.73,Demande d'assistance: bruit important sur la ligne téléphonique. | Demande d'assistance: bruit important sur la ligne téléphonique. | Demande d'assistance: bruit important sur la ligne téléphonique.
2,10066,"montant facturé, régularisation, demande régularisation, incorrectement, incorrectement demande, facturé, facturé incorrectement, montant, demande, réclamation montant","Annaba, Blida, Ghardaïa, Sidi Bel Abbès, Skikda","Centre d'appel, Site web, Application mobile, Agence commerciale, Email","Résolu, En cours, Nouveau, Clôturé, Escaladé",19.53,4.99,"Demande d'assistance: montant facturé incorrectement, demande régularisation. | Réclamation: montant facturé incorrectement, demande régularisation. | Demande d'assistance: montant facturé incorrectement, demande régularisation."
3,9909,"erreur authentification, connexion, authentification, erreur, lors connexion, authentification lors, lors, réclamation erreur, incident erreur, signale erreur","Sétif, Médéa, Oran, Ouargla, Batna","Centre d'appel, Site web, Agence commerciale, Application mobile, Email","Résolu, En cours, Nouveau, Escaladé, Clôturé",20.26,5.58,Réclamation: erreur d'authentification lors de la connexion. | Incident: erreur d'authentification lors de la connexion. | Incident: erreur d'authentification lors de la connexion.
4,9933,"information, contrat, demande information, information offre, offre, offre contrat, demande, incident demande, réclamation demande, rapporte demande","Jijel, Laghouat, Adrar, Relizane, Tizi Ouzou","Centre d'appel, Site web, Application mobile, Agence commerciale, Email","Résolu, En cours, Nouveau, Clôturé, Escaladé",20.52,5.1,Client signale demande d'information sur l'offre et le contrat. | Client signale demande d'information sur l'offre et le contrat. | Réclamation: demande d'information sur l'offre et le contrat.
5,9989,"depuis, matin, coupure, depuis matin, service, service depuis, coupure service, réclamation coupure, incident coupure, signale coupure","Béjaïa, Tlemcen, Boumerdès, Tizi Ouzou, Biskra","Centre d'appel, Site web, Agence commerciale, Application mobile, Email","Résolu, En cours, Nouveau, Escaladé, Clôturé",20.2,5.11,Réclamation: coupure de service depuis ce matin. | Demande d'assistance: coupure de service depuis ce matin. | Abonné rapporte coupure de service depuis ce matin.
6,10034,"très, soirée, très faible, faible soirée, faible, débit, débit très, incident débit, réclamation débit, signale débit","Skikda, Tiaret, Béjaïa, Msila, Biskra","Centre d'appel, Site web, Application mobile, Agence commerciale, Email","Résolu, En cours, Nouveau, Escaladé, Clôturé",19.88,5.06,Réclamation: débit très faible en soirée. | Client signale débit très faible en soirée. | Incident: débit très faible en soirée.
7,9896,"synchronise, modem, modem synchronise, réclamation modem, incident modem, rapporte modem, assistance modem, signale modem, réclamation, incident","Annaba, Constantine, Jijel, Ghardaïa, Laghouat","Centre d'appel, Site web, Agence commerciale, Application mobile, Email","Résolu, En cours, Nouveau, Escaladé, Clôturé",19.54,5.01,Incident: modem ne se synchronise pas. | Client signale modem ne se synchronise pas. | Demande d'assistance: modem ne se synchronise pas.
8,10112,"certaines chaines, certaines, chaines, image figée, image, figée certaines, figée, réclamation image, incident image, assistance image","Annaba, Biskra, Blida, Laghouat, Msila","Centre d'appel, Site web, Agence commerciale, Application mobile, Email","Résolu, En cours, Nouveau, Clôturé, Escaladé",20.32,4.78,Demande d'assistance: image figée sur certaines chaines. | Demande d'assistance: image figée sur certaines chaines. | Client signale image figée sur certaines chaines.
9,9996,"problème lors, lors résiliation, résiliation, problème, facturation, résiliation facturation, facturation continue, continue, lors, réclamation problème","El Oued, Laghouat, Mostaganem, Biskra, Jijel","Centre d'appel, Site web, Agence commerciale, Application mobile, Email","Résolu, En cours, Nouveau, Escaladé, Clôturé",19.93,5.33,"Client signale problème lors de la résiliation, facturation continue. | Incident: problème lors de la résiliation, facturation continue. | Demande d'assistance: problème lors de la résiliation, facturation continue."
