Category,Frequency,Urgency_Score,Negative_Sentiment,Resolution_Rate,Priority_Score,Priority_Level
Internet lent,20034,20.030947389437955,60.50713786562844,34.775881002296096,0.7600000000000001,Critical
Télévision,10021,20.6765791837142,60.413132421913986,35.20606725875661,0.7,Critical
Facturation,11891,19.93945000420486,60.65932217643596,34.94239340677824,0.68,High
Résiliation,6101,20.71791509588592,59.76069496803803,34.355023766595636,0.6599999999999999,High
Coupure de ligne,22375,20.353072625698324,60.205586592178776,35.423463687150836,0.64,High
Assistance,7908,19.878603945371776,59.87607486090035,34.59787556904401,0.5,Medium
Configuration,3954,20.510875063227115,60.31866464339909,35.17956499747091,0.49000000000000005,Medium
Installation,9871,18.863337047918144,59.831830614932635,34.95086617363995,0.4,Medium
Autre,1966,20.600203458799594,60.020345879959315,35.757884028484234,0.39,Low
Problème matériel,5879,18.727674774621534,58.76849804388501,34.886885524749104,0.28,Low
